condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,0.25,116,iei_100,37.0,0.5903504779244424,2.8626570919867693,0.8792500707815143,5980,1.0,2.455351170568562,19,1.738155570518229,0.5230212808693901,-772.6886314986908,-23.739772402147462,0.12602044205842372,5980
homogeneous,0.25,116,iei_400,61.0,0.9679012345679012,2.2741311699023075,0.8653182457955885,3444,0.9994192799070848,4.26335656213705,32,1.270717387484284,0.2677380226434307,-489.45674645618124,-18.157492912490838,0.12403827458539526,3442
homogeneous,0.25,117,iei_float,53.337308104248486,0.8566378633150039,2.4713554558108455,0.8717367550533799,4114,0.9997569275644141,3.5452114730189597,34,1.400987307095873,0.33204913685310855,-670.390732998985,-23.80108545421803,0.1380592953206416,4113
homogeneous,0.25,117,iei_100,37.0,0.5975749256463052,2.9293151475853594,0.8852629587677109,6037,1.0,2.415935067086301,19,1.7442718800027759,0.5342953070213337,-856.2113539583207,-27.360423731265577,0.1346939474072507,6037
homogeneous,0.25,117,iei_400,61.0,0.99347061778001,2.408010026625015,0.8696372685657813,3397,0.9997056226081837,4.29349425964086,35,1.2582095106429154,0.2650438343068058,-510.8570391857121,-19.403887562325153,0.128641062952426,3396
homogeneous,0.25,118,iei_float,54.37503630554749,0.8624213836477987,2.54989282981355,0.8206867894590028,4059,1.0,3.533628972653363,22,1.3972331675695937,0.33251689406389584,-689.6201816156581,-26.293635733886905,0.14139216305938623,4059
homogeneous,0.25,118,iei_100,38.0,0.5986442262739597,3.0356169301447307,0.8597227463693785,5905,1.0,2.4289585097375106,15,1.7342725469250855,0.5305156461359806,-875.9844865819427,-29.052257812527806,0.1375801573494197,5905
homogeneous,0.25,118,iei_400,62.0,0.9765664798777381,2.0734371026524134,0.8306209727674767,3435,1.0,4.175545851528384,26,1.2638643683560158,0.27314182830545686,-589.3489710612231,-24.338828217407944,0.13716179767797243,3435
homogeneous,0.25,119,iei_float,54.52605405405406,0.87829209896249,2.5168051988906166,0.8670697224299985,4046,1.0,3.565743944636678,27,1.3915451498827114,0.3289545473096819,-678.2605506390395,-24.20962437707932,0.14892430583688016,4046
homogeneous,0.25,119,iei_100,38.0,0.6030975496994915,2.9844252896191366,0.899892958153962,5921,1.0,2.436581658503631,18,1.738365680310368,0.5283285333942342,-821.8100806037568,-25.793593227455954,0.13520793537629544,5921
homogeneous,0.25,119,iei_400,62.0,0.9984939759036144,2.330057129083595,0.867354289442665,3385,0.9997045790251108,4.262038404726735,35,1.257766699868169,0.267338970459155,-539.5842460317687,-21.025535148061717,0.13566374238945128,3384
uniform,0.25,100,iei_float,4.432377511853692,1.0127388535031847,2.3141155729290652,0.8580948321101465,3222,0.9984481688392303,4.231843575418995,57,1.272919640857486,0.27332578831646415,-511.94618641504815,-20.25182957149164,0.13308303932778567,3217
uniform,0.25,100,iei_100,4.0,0.8963414634146342,2.54230699867899,0.8644220427568962,3667,0.9994545950368149,3.718298336514862,31,1.3675178098478096,0.3145008309070334,-581.484903225375,-21.480692945004407,0.13494487271272704,3665
uniform,0.25,100,iei_400,5.0,1.119607843137255,2.0236749394508626,0.848161663969678,2728,0.9974340175953079,4.99816715542522,70,1.1503234867055188,0.22657161579857604,-415.09940428202236,-18.379053268803677,0.12108688783359567,2721
uniform,0.25,101,iei_float,4.464743095201358,0.9832069339111592,2.268567278064908,0.8588299100671025,3214,0.998755444928438,4.140634723086497,50,1.289245882005675,0.2793625380702721,-503.30750262035116,-19.8187737997923,0.1371972845854076,3210
uniform,0.25,101,iei_100,4.0,0.8842244807777286,2.4648072956795883,0.8841744172677943,3647,0.9986290101453249,3.649026597203181,35,1.3865645252702965,0.3243319493252317,-586.3810043225434,-21.535922924984657,0.14251773040479604,3642
uniform,0.25,101,iei_400,5.0,1.0625,2.1542534049005684,0.8373177015024474,2729,0.9959692194943203,4.87651154268963,51,1.1799441229395544,0.2360141387771293,-407.8681554399262,-17.643524980838265,0.12464521520546812,2718
uniform,0.25,102,iei_float,4.394812462189957,1.0121951219512195,2.413339001101042,0.8609704305611277,3219,0.9975147561354458,4.215905560733147,44,1.269324052607038,0.2759243976356798,-557.3418877364769,-22.830011721813747,0.13716314382630332,3211
uniform,0.25,102,iei_100,4.0,0.8944567627494456,2.505687684523244,0.8937570834785686,3662,0.9986346258874932,3.7058984161660296,42,1.3730145140560612,0.31865699348364973,-597.9836007313611,-21.226307580920306,0.14039015812564015,3657
uniform,0.25,102,iei_400,5.0,1.1119352663519892,2.1575890339113926,0.8325076496518098,2713,0.9955768521931441,5.002211573903428,64,1.1535345941824797,0.22966884478109284,-434.73268418729145,-18.836911274799128,0.12549073386697396,2701
uniform,0.25,103,iei_float,4.50488229505715,1.01383714741884,2.3441208246055125,0.8581887053214121,3262,0.9987737584304108,4.156345800122624,62,1.2798677614537777,0.27815696655438493,-541.4053569648362,-21.035856360163308,0.13893014036406337,3258
uniform,0.25,103,iei_100,4.0,0.8854030501089325,2.461896197582491,0.8790850144760063,3729,0.9989273263609547,3.635827299544114,35,1.3877454186053146,0.32486289352427555,-599.2860259875241,-21.18498806663576,0.13905368542537938,3725
uniform,0.25,103,iei_400,5.0,1.1307443365695793,2.1909449276956634,0.835201595924135,2830,0.9978798586572438,4.790812720848057,65,1.1738168418854773,0.2377122494557783,-467.3042980910889,-20.62331576206294,0.12810845437976348,2824
uniform,0.25,104,iei_float,4.448244344580699,0.9894179894179894,2.447654385699194,0.8494341155982564,3237,0.9993821439604572,4.1640407784986095,40,1.2705722744215056,0.27561972921097344,-552.178880940893,-22.010100870933233,0.13616931783723563,3235
uniform,0.25,104,iei_100,4.0,0.92082239720035,2.4840796989528626,0.8860495874039944,3700,0.9997297297297297,3.642972972972973,33,1.371298063119342,0.3215195590303558,-646.7694651584233,-23.96058461881123,0.14340495333579212,3699
uniform,0.25,104,iei_400,5.0,1.1194630872483222,2.215028316477206,0.836241215862583,2758,0.9974619289340102,4.887237128353879,67,1.154709980744654,0.23230933226834377,-468.13147843607396,-21.254441233211267,0.12910982325935594,2751
uniform,0.25,105,iei_float,4.394309559939302,0.9457572502685284,2.3159980902990775,0.8626115857587094,3223,0.9981383803909402,4.196711138690661,51,1.2819871897424182,0.27618734657100674,-502.3777628439768,-19.005445085864316,0.13138912703030364,3217
uniform,0.25,105,iei_100,4.0,0.8922664282521234,2.5401094409970364,0.8747955317577414,3624,0.9988962472406181,3.7323399558498895,46,1.372418472764279,0.3157081578638903,-561.9525735180378,-20.59782448037582,0.13203247787496392,3620
uniform,0.25,105,iei_400,5.0,1.0820232399179768,2.0231789545326717,0.8061413182304216,2692,0.9966567607726597,5.024517087667162,59,1.1610750016685447,0.2269540389918539,-373.60822807436284,-16.870400460971425,0.11665408760948401,2683
uniform,0.25,106,iei_float,4.423587786259542,0.9546424759871932,2.455618878112368,0.8499034021045803,3238,0.9984558369363805,4.152872143298333,59,1.2849454846742692,0.2788498997412907,-521.2984300067573,-20.12255021819261,0.1330655333092372,3233
uniform,0.25,106,iei_100,4.0,0.8563192904656319,2.4837176201004145,0.8492139742820245,3708,0.9991909385113269,3.6264832793959005,39,1.388687379810035,0.3251211629889903,-593.8419850606426,-21.79261288331302,0.1390963845405807,3705
uniform,0.25,106,iei_400,5.0,1.1077966101694916,2.017706863624978,0.8443538925014116,2713,0.9963140434942868,4.956505713232584,59,1.1636646197915024,0.23005437511330828,-401.35770435092314,-18.03013427876322,0.12131441564384113,2703
uniform,0.25,107,iei_float,4.526155021000382,0.9632876712328767,2.3642062686217904,0.8724747910580488,3240,0.9978395061728395,4.150308641975308,46,1.2865963276945092,0.2806077929991274,-533.411425032812,-20.567576560570707,0.1433082956298107,3233
uniform,0.25,107,iei_100,4.0,0.8792878853669127,2.409205067553445,0.8859351988995807,3726,0.9994632313472893,3.6089640365002684,68,1.389906939837866,0.32698672120572747,-611.217499865546,-21.572455409755182,0.14655288214900997,3724
uniform,0.25,107,iei_400,5.0,1.0804289544235925,2.0980934006418392,0.840759984424579,2756,0.9960087082728593,4.879172714078375,63,1.1672845583878537,0.23562612046378645,-456.1798313151241,-20.052464632469007,0.13146273767159977,2745
uniform,0.25,108,iei_float,4.457988614800759,0.9604700854700855,2.3977009602878154,0.8593375399506552,3270,0.9990825688073395,4.137003058103976,40,1.282803518169393,0.27835101291839737,-531.2180599251303,-20.60234486004745,0.1388585080665487,3267
uniform,0.25,108,iei_100,4.0,0.9171416045594037,2.5935294789699035,0.8834320732315641,3689,0.9994578476551911,3.6671184602873406,45,1.3760174945689858,0.32025490090073827,-604.7959158416327,-21.48087492697764,0.14473266937989532,3687
