condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
refractory_0.8,0.25,107,13.98565898293155,,14500,900000,58000.0,0.10474462017111745,92.0,0.8,0.734,0.8042758620689655,0.0,3857.0,92.0,0.10474462017111745,0.0
refractory_0.8,0.25,108,23.48828690689156,,14475,900000,57900.0,0.09907497565725414,80.0,0.8,0.71642305570877,0.7890926640926641,0.0,4113.0,80.0,0.09919766593727207,29.0
refractory_0.8,0.25,109,15.258608573436401,,14485,900000,57940.0,0.09938524590163934,104.0,0.8,0.7306631738590927,0.8111126430442576,0.0,3907.0,104.0,0.09956488354235987,21.0
refractory_0.8,0.25,110,16.775023998603718,,14493,900000,57972.0,0.11037807663029688,84.0,0.8,0.7280562642211956,0.8013514445287182,0.0,3944.0,84.0,0.11029411764705882,10.0
refractory_0.8,0.25,111,18.21059027777778,,14492,900000,57968.0,0.10075566750629723,88.0,0.8,0.7260878560099303,0.7960830287566375,0.0,3972.0,88.0,0.10070493454179255,9.0
refractory_0.8,0.25,112,18.01166840822013,,14473,900000,57892.0,0.1015330485046494,96.0,0.8,0.7254618141714916,0.7974910394265233,0.0,3983.0,96.0,0.10193321616871705,35.0
refractory_0.8,0.25,113,22.58610400682012,,14502,900000,58008.0,0.09585682765383673,68.0,0.8,0.7187284512481037,0.7904426975589574,0.0,4079.0,68.0,0.09585682765383673,0.0
refractory_0.8,0.25,114,24.45621181262729,,14481,900000,57924.0,0.09407496977025392,80.0,0.8,0.7142068965517241,0.7872413793103449,0.0,4144.0,80.0,0.09387065637065638,19.0
refractory_0.8,0.25,115,21.372661747039643,,14484,900000,57936.0,0.10024691358024691,64.0,0.8,0.7205902634119432,0.791890773686388,0.0,4052.0,64.0,0.10044422507403751,18.0
refractory_0.8,0.25,116,13.104300980305572,,14504,900000,58016.0,0.10954983086130628,88.0,0.8,0.73503861003861,0.8079150579150579,0.0,3843.0,88.0,0.10954983086130628,0.0
refractory_0.8,0.25,117,17.65410064426258,,14492,900000,57968.0,0.10544904137235116,112.0,0.8,0.7266082879404261,0.7978349307039923,0.0,3965.0,112.0,0.10542244640605296,11.0
refractory_0.8,0.25,118,19.37372779023633,,14501,900000,58004.0,0.09742048585023792,84.0,0.8,0.7246396800220675,0.8031170264119716,0.0,3993.0,84.0,0.09742048585023792,0.0
refractory_0.8,0.25,119,16.063389504933205,,14508,900000,58032.0,0.10252486610558531,80.0,0.8,0.7297353184449958,0.8014199062586159,0.0,3921.0,80.0,0.10252486610558531,0.0
refractory_1.0,0.25,100,1.8546746326497658,,14501,900000,58004.0,0.21749408983451538,112.0,1.0,0.8541479897938073,1.0075167229846218,0.0,2115.0,112.0,0.21749408983451538,0.0
refractory_1.0,0.25,101,1.8783707182767835,,14499,900000,57996.0,0.21674418604651163,112.0,1.0,0.851696083838941,1.0014478764478765,0.0,2151.0,112.0,0.21664342166434217,5.0
refractory_1.0,0.25,102,1.880611581001952,,14495,900000,57980.0,0.208731241473397,224.0,1.0,0.8482905982905983,0.9906258615936036,0.0,2201.0,224.0,0.20899591094956838,13.0
refractory_1.0,0.25,103,1.9251617129288463,,14478,900000,57912.0,0.211037527593819,116.0,1.0,0.8438490150158424,0.9840887174541948,0.0,2267.0,116.0,0.2112924569916189,40.0
refractory_1.0,0.25,104,1.8800966962127317,,14516,900000,58064.0,0.22697056030389365,132.0,1.0,0.8549187103885368,1.0090245246624414,0.0,2106.0,132.0,0.22697056030389365,0.0
refractory_1.0,0.25,105,1.842685695750892,,14509,900000,58036.0,0.21773082223242995,104.0,1.0,0.8499552002205527,1.00241229581639,0.0,2177.0,104.0,0.21773082223242995,0.0
