condition,seed,control,jitter_ms,dt_ms,original_native,control_native,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,109,jitter,20,10,54,55,0.1527790973871734,4.7892951218823745,0.9160724073436688,11395,1.0,1.2628345765686704,8,2.9911139004150424,1.5695892893318626,-359.61618189531623,-16.111408134060188,0.038088884180126015,11395
homogeneous,109,jitter,20,54,54,55,0.8652373660030628,2.5533589786400444,0.8360641815545261,4097,0.9997559189650964,3.512326092262631,35,1.4078121625962812,0.3357989005423937,-671.899123400498,-24.752370713405426,0.14184579380697548,4096
homogeneous,109,jitter,20,55,54,55,0.8628548580567773,2.4106370913548756,0.8555446286832783,3957,0.9997472832954258,3.63659337882234,34,1.3864691201016495,0.32216267800841236,-611.3263472690303,-21.856659687664585,0.13206151648378184,3956
homogeneous,109,jitter,80,10,54,54,0.1600762267746546,4.820548957537368,0.9459371679513763,11359,1.0,1.2668368694427325,8,2.972830200474389,1.5576409228236066,-392.3989091907336,-17.305510277923265,0.0404495804809466,11359
homogeneous,109,jitter,80,54,54,54,0.8826945412311266,2.582046451643962,0.8671067426051215,4093,1.0,3.5157586122648423,27,1.404868541140134,0.33453244271608706,-673.8598138519433,-24.05811331057261,0.14488435025279023,4093
homogeneous,110,none,0,10,54,54,0.16028935846183134,4.288601157880117,0.9298072152379937,11344,1.0,1.2663081805359662,6,2.9745382421401327,1.5592067900267241,-391.36114776244796,-17.447526644088082,0.04079066372655027,11344
homogeneous,110,none,0,54,54,54,0.8458837300039017,2.5390874066295357,0.8574606613757518,4073,1.0,3.5268843604222933,24,1.405478183526574,0.33327476629677955,-651.786760716494,-23.719420767601644,0.13868225876290063,4073
homogeneous,110,shuffle,0,10,54,54,0.16140788337968734,4.6749321728232704,0.8815077278009918,11299,1.0,1.2713514470307108,6,2.9588866318522573,1.5444209119816321,-391.97321615071723,-17.853862130927407,0.040599047349883954,11299
homogeneous,110,shuffle,0,54,54,54,0.8750492707922743,2.337429385726078,0.8637427951141319,4076,0.9997546614327772,3.524288518155054,32,1.4000338084381259,0.3343575705452432,-697.7510916466111,-26.290381969309184,0.1440224291858973,4075
homogeneous,110,jitter,4,10,54,54,0.15955508677725572,4.233164172485961,0.9259412480673956,11306,1.0,1.2705643021404565,6,2.9617488206539004,1.5467066272624872,-389.3029224025019,-17.100845399698542,0.04122237618134994,11306
homogeneous,110,jitter,4,54,54,54,0.8511555033294164,2.5317198504343703,0.8483886573963493,4088,1.0,3.5139432485322897,24,1.40670908522147,0.33473854838656336,-664.4616275753863,-24.649408430976916,0.14137764744869735,4088
homogeneous,110,jitter,20,10,54,54,0.16677881380371046,4.95699308728535,0.909279604784776,11261,1.0,1.2756415948850013,7,2.9414896738864815,1.5321030901102861,-418.13165501569557,-18.918093007260264,0.04223078180280315,11261
homogeneous,110,jitter,20,54,54,54,0.848882035466461,2.6641195687016745,0.8690920143315959,4091,1.0,3.511366414079687,28,1.4104536364202733,0.3350315396945467,-645.9656532472427,-22.993596569213825,0.1381645239952103,4091
homogeneous,110,jitter,80,10,54,54,0.15928782252689708,4.8043954595164315,0.9452021681404538,11339,1.0,1.2668665667166417,8,2.9777899918369624,1.5575530770650823,-362.5868621891662,-15.975373338446822,0.03833625725499179,11339
homogeneous,110,jitter,80,54,54,54,0.8476302389345868,2.516905389668571,0.8750352960319656,4071,1.0,3.528617047408499,27,1.4089815061702655,0.3330797428629111,-628.1556533027683,-22.079530551163895,0.13797033347408122,4071
homogeneous,111,none,0,10,54,54,0.1592599656685104,4.724157253093731,0.9447355257579608,11394,1.0,1.2697911181323505,8,2.96218758973812,1.5489596689734446,-403.39754434884287,-17.243323619459535,0.04199906987816604,11394
homogeneous,111,none,0,54,54,54,0.8726415094339622,2.567493969385375,0.8335636922872761,4082,0.9997550220480157,3.544341009309162,35,1.397367694219911,0.33218041836912937,-688.4764228793382,-25.755960195065228,0.14065583926380298,4081
homogeneous,111,shuffle,0,10,54,54,0.16151037663335896,4.477336486773551,0.9302285765479621,11336,1.0,1.276287932251235,7,2.9422945332064447,1.5302675359612983,-404.9230576309594,-17.016175104059876,0.043196251101650374,11336
homogeneous,111,shuffle,0,54,54,54,0.8541418945699564,2.4488704156723005,0.8440720719683976,4044,1.0,3.5776458951533137,23,1.3949065126757656,0.3276534300775982,-642.1457722776512,-23.47396041682285,0.13405692151089021,4044
homogeneous,111,jitter,4,10,54,54,0.1561578697099382,4.4743902778443765,0.9500388421005013,11425,1.0,1.2663457330415755,7,2.9729167250105046,1.559095443175015,-402.91954821565724,-17.452496998362633,0.04151319623908134,11425
homogeneous,111,jitter,4,54,54,54,0.8796696814785686,2.455426560838059,0.8511330402676816,4074,0.9997545409916544,3.5513009327442315,31,1.3961994492400418,0.3312956360234247,-683.4073353304136,-25.139374757134753,0.14213125165127155,4073
homogeneous,111,jitter,20,10,54,54,0.15133001221919354,4.277942863278667,0.9442652336051259,11511,1.0,1.2568847189644687,6,3.007422651249472,1.587764073219505,-377.87861753645626,-17.096235314144884,0.03865286883536523,11511
homogeneous,111,jitter,20,54,54,54,0.8848697005056398,2.6153463204067497,0.8268241880589997,4090,0.9997555012224939,3.5374083129584353,35,1.3954537507115727,0.3329564066952081,-710.737658777144,-26.90909994827483,0.14457113523093035,4089
homogeneous,111,jitter,80,10,54,54,0.15428462853885616,4.186539940028722,0.9411254814988459,11421,1.0,1.2667892478767184,6,2.9779128534290624,1.557781814086276,-365.8725354932443,-16.283621252661387,0.03877823767681354,11421
